Gene,Provenance_tier,Status_for_selection,In_core_panel,In_missing_half,In_curated_pool,Functional_axis,Category,Objective_tags,Priority_hint,Why_relevant,Expression_note,References
Dpysl5,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression.,Moderate-high,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Draxin,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Dscam,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Dscaml1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Dsg2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Efna1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Eph-ephrin,,,,,,
Efna2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Efna3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Efna4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Eph-ephrin,,,,,,
Efna5,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting. [Map gradient],Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Efnb1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Efnb2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Efnb3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Elfn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Emx2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Areal patterning,Areal-gradient extras,"D,E",Low,"Genes with cortical areal gradients (A-P / M-L), useful for objective D and V1 placement. [Areal TF]",Developmental — verify adult,O'Leary & Sahara 2008; areal-gradient / Allen ISH
Enpp2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Eomes,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,E",Low,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Tbr2) — mostly progenitor],Developmental — likely low in adult,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Epha3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Epha4,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Epha5,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Epha6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Epha7,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting. [Areal gradient in cortex],Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Epha8,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Ephb1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Ephb2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Ephb3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Ephb6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Eph-ephrin,"C,D,E",High,Topographic/retinotopic mapping system — strong areal & V1 map gradients AND projection targeting.,Moderate.,Cang & Feldheim 2013; Triplett 2014 (topographic/retinotopic maps)
Esam,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Etv1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Fam19a1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Fat1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Fat2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Cadherin/protocadherin,,,,,,
Fat3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Fat4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Cadherin/protocadherin,,,,,,
Fezf2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Flrt1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Other / unclassified,,,,,,
Flrt2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP). [FLRT-Unc5 repulsion]",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Flrt3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Foxo1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [IT vs PT],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Foxp2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Fstl4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Fstl5,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Fxyd6,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Fzd3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP). [Essential for axon tracts (+Celsr3)]",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Gad1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Gap43,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Cytoskeleton / growth,,,,,,
Gp1ba,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Gp1bb,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Gpx3,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Grid1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Grid2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Grik1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Ion channel / excitability,,,,,,
Grin3a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Ion channel / excitability,,,,,,
Grm1,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Ion channel / excitability,,,,,,
H2-D1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
H2-K1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Hcn1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"A,C,E",High,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity. [Ih; PT/deep-layer enriched],"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Hcn2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Hmcn1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Hmcn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,ECM / proteoglycan,,,,,,
Hpcal1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Hs3st4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Icosl,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Id2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Igdcc3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,IgSF / LRR adhesion,,,,,,
Igdcc4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Igfbp4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Igfbp6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Areal patterning,Areal-gradient extras,"D,E",Med,"Genes with cortical areal gradients (A-P / M-L), useful for objective D and V1 placement.",Some developmental — verify adult expression.,O'Leary & Sahara 2008; areal-gradient / Allen ISH
Iglon5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Igsf11,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,D,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure.",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Igsf21,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,D,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure.",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Igsf9,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,IgSF / LRR adhesion,,,,,,
Igsf9b,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Il1rap,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Il1rapl1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Il1rapl2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Itga1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga10,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga11,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga2b,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Integrin,,,,,,
Itga4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga6,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga7,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itga8,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Integrin,,,,,,
Itga9,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Integrin,,,,,,
Itgad,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgae,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgam,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgav,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Integrin,,,,,,
Itgax,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Integrin,,,,,,
Itgb2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb6,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb7,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Integrin,,,,,,
Itgb8,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Integrin,,,,,,
Jam2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Jam3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Kcnab1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Ion channel / excitability,,,,,,
Kcnab2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnb1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnc2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Ion channel / excitability,,,,,,
Kcnd2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnd3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnh1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnh5,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Ion channel / excitability,,,,,,
Kcnip1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Ion channel / excitability,,,,,,
Kcnip4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Ion channel / excitability,,,,,,
Kcnj3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity. [GIRK1],"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnma1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity. [BK; can be high],Moderate-high — watch crowding,Bean 2007; cell-type intrinsic-excitability literature
Kcnn2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnn3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnq2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnq3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcnq5,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kcns3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity. [IN-enriched],"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Kirrel,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,IgSF / LRR adhesion,,,,,,
Kirrel3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,IgLON / IgSF adhesion,"B,C,E",Med,"IgLON family areal/laminar adhesion; within-type variation, projection & spatial structure. [(panel has Kirrel1)]",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Klf7,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Med,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression. [Pro-axon-growth TF],Low — TF,GO:0007411; Kolodkin & Tessier-Lavigne 2011
L1cam,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate-high — watch crowding,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Lamp5,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Lgr4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Wnt / misc receptor,,,,,,
Lgr5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Wnt / misc receptor,,,,,,
Lgr6,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Wnt / misc receptor,,,,,,
Lhx2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Areal patterning,Areal-gradient extras,"D,E",Low,"Genes with cortical areal gradients (A-P / M-L), useful for objective D and V1 placement. [Areal TF]",Developmental — verify adult,O'Leary & Sahara 2008; areal-gradient / Allen ISH
Lmo3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Lmo4,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,D,E",High,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [Areal patterning],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Lrfn1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Lrfn2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Lrfn3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Lrfn4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Lrig1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Wnt / misc receptor,,,,,,
Lrig2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Wnt / misc receptor,,,,,,
Lrig3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Wnt / misc receptor,,,,,,
Lrrc38,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Lrrc4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Netrin-DCC-Unc5,"C,D,E",Med,Attractive/repulsive guidance; descending & long-range projection routing. [NGL-2],Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Lrrc4b,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Lrrc4c,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Netrin-DCC-Unc5,"C,D,E",Med,"Attractive/repulsive guidance; descending & long-range projection routing. [NGL-1, Ntng1 receptor]",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Lrrc55,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Other / unclassified,,,,,,
Lrrc8a,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Other / unclassified,,,,,,
Lrrc8b,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Other / unclassified,,,,,,
Lrrc8c,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Other / unclassified,,,,,,
Lrrc8d,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Other / unclassified,,,,,,
Lrrtm1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Neurexin-neuroligin / LRRTM / GluD,"C,E",Med,Trans-synaptic adhesion specifying connectivity; within-type variation can carry projection signal.,Nrxn1/3 moderate-high — watch crowding.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
